filename,SI-SNR,PESQ,OVRL,SIG,BAK,P808_MOS
00064_2_keyboard_loud_snr+10dB_noisy.wav,14.05,1.819,3.014,3.354,3.969,3.440
00065_2_keyboard_loud_snr+15dB_noisy.wav,15.73,2.065,3.127,3.462,4.007,3.692
00066_2_keyboard_loud_snr+20dB_noisy.wav,16.74,2.322,3.169,3.515,3.982,3.837
00068_2_keyboard_soft_snr+0dB_noisy.wav,7.57,1.585,2.916,3.279,3.870,3.598
00067_2_keyboard_soft_snr-5dB_noisy.wav,4.41,1.377,2.664,3.098,3.616,3.341
00069_2_keyboard_soft_snr+5dB_noisy.wav,10.88,1.864,3.047,3.405,3.919,3.797
00070_2_keyboard_soft_snr+10dB_noisy.wav,13.69,2.158,3.167,3.508,3.991,3.872
00071_2_keyboard_soft_snr+15dB_noisy.wav,15.61,2.438,3.273,3.575,4.077,3.942
00072_2_keyboard_soft_snr+20dB_noisy.wav,16.76,2.693,3.306,3.598,4.095,4.018
00075_3_fan_noise_level1_snr+5dB_noisy.wav,17.06,2.713,3.317,3.632,4.077,3.867
00073_3_fan_noise_level1_snr-5dB_noisy.wav,13.18,1.768,3.180,3.544,3.957,3.585
00074_3_fan_noise_level1_snr+0dB_noisy.wav,15.60,2.341,3.313,3.618,4.092,3.780
00076_3_fan_noise_level1_snr+10dB_noisy.wav,17.67,3.041,3.331,3.645,4.082,3.887
00077_3_fan_noise_level1_snr+15dB_noisy.wav,18.02,3.280,3.369,3.669,4.111,3.904
00081_3_fan_noise_level2_snr+5dB_noisy.wav,16.79,2.707,3.360,3.660,4.101,3.825
00078_3_fan_noise_level1_snr+20dB_noisy.wav,18.20,3.363,3.375,3.674,4.116,3.918
00079_3_fan_noise_level2_snr-5dB_noisy.wav,13.49,2.085,3.319,3.613,4.102,3.628
00080_3_fan_noise_level2_snr+0dB_noisy.wav,15.53,2.341,3.364,3.645,4.132,3.768
00083_3_fan_noise_level2_snr+15dB_noisy.wav,17.82,3.199,3.360,3.662,4.102,3.898
00082_3_fan_noise_level2_snr+10dB_noisy.wav,17.46,3.006,3.343,3.655,4.080,3.865
00084_3_fan_noise_level2_snr+20dB_noisy.wav,18.04,3.306,3.367,3.668,4.099,3.903
00086_3_clapping_snr+0dB_noisy.wav,13.32,1.694,2.927,3.357,3.724,3.553
00085_3_clapping_snr-5dB_noisy.wav,11.13,1.468,2.524,3.141,3.229,3.271
00087_3_clapping_snr+5dB_noisy.wav,15.11,1.983,3.157,3.561,3.877,3.686
00092_3_door_knock_snr+0dB_noisy.wav,12.53,2.014,3.156,3.519,3.957,3.887
00093_3_door_knock_snr+5dB_noisy.wav,14.42,2.299,3.224,3.601,3.945,3.922
